Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,24,0.614,0.080,86.023
1,24,0.664,0.088,83.703
2,17,0.637,0.040,72.346
3,19,0.524,0.035,68.451
4,19,0.594,0.043,71.689
5,13,0.658,0.032,56.693
6,17,0.772,0.043,64.562
7,35,0.812,0.115,119.366
8,22,0.695,0.060,77.031
9,24,0.490,0.053,95.338
10,16,0.568,0.050,61.768
11,23,0.608,0.073,81.376
12,16,0.665,0.050,62.078
13,21,0.596,0.059,76.827
14,15,0.623,0.032,58.233
15,24,0.673,0.064,85.209
16,19,0.596,0.048,67.900
17,24,0.664,0.070,85.246
18,22,0.648,0.078,79.848
19,19,0.513,0.040,75.138
20,14,0.644,0.030,54.809
21,21,0.742,0.056,77.968
22,15,0.614,0.034,59.002
23,26,0.698,0.069,92.100
24,26,0.537,0.076,88.117
25,22,0.567,0.047,81.800
26,25,0.620,0.060,88.546
27,24,0.674,0.075,84.447
28,25,0.555,0.073,86.986
29,21,0.539,0.051,74.849
