Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,19,0.451,0.004,0.864,52.535,160.981
1,19,0.442,0.006,0.892,45.816,154.329
2,10,0.444,0.004,0.852,21.814,77.964
3,12,0.410,0.010,0.896,26.902,94.453
4,20,0.443,0.013,0.844,66.278,180.096
5,15,0.446,0.004,0.912,41.261,121.839
6,14,0.420,0.009,0.826,33.723,111.949
7,21,0.428,0.013,0.828,78.090,204.441
8,12,0.473,0.005,0.874,26.860,92.963
9,19,0.340,0.018,0.835,56.581,173.381
10,14,0.482,0.007,0.924,34.183,113.859
11,14,0.443,0.015,0.919,44.413,125.215
12,19,0.448,0.005,0.882,58.733,168.626
13,19,0.416,0.015,0.887,55.380,166.637
14,17,0.427,0.011,0.855,52.591,153.355
15,14,0.436,0.078,0.847,39.563,119.008
16,6,0.446,0.000,0.952,13.700,49.961
17,14,0.423,0.004,0.837,32.630,112.041
18,11,0.405,0.007,0.826,24.380,86.012
19,12,0.449,0.005,0.902,27.573,90.498
20,15,0.433,0.006,0.905,35.433,114.730
21,21,0.443,0.008,0.845,58.512,184.483
22,14,0.440,0.007,0.908,34.274,113.494
23,18,0.454,0.005,0.821,42.146,146.555
24,19,0.414,0.011,0.787,48.481,163.193
25,17,0.473,0.006,0.937,58.150,154.327
26,18,0.400,0.016,0.875,43.587,149.583
27,13,0.444,0.004,0.819,34.542,107.977
28,7,0.451,0.001,0.882,14.282,56.099
29,13,0.419,0.005,0.884,38.035,109.709
